,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,2.33,2.3,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,1.0,,
1,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,67,"ALKALINITY, TOT, CACO3",,,,175.0,175.00,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,2.0,,
2,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,19,NITRITE-N,,,,0.006,0.006,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,3.0,,
3,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,18,NITRATE+NITRITE-N,,,,0.018000000000000002,0.018,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,3.0,,
4,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,16,TOTAL SUSPENDED SOLIDS,,,,13.0,13.0,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,1.0,,
5,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,13,COLOR,,,,62.0,62,,,,,PCU,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,0.0,,
6,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,12,TURBIDITY,,,,7.2,7.2,,,,,NTU,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,1.0,,
7,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,10,"PH, FIELD",,,,7.5,7.50,,,,,UNITS,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,2.0,,
8,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,9,"SP CONDUCTIVITY, FIELD",,,,735.0,735,,,,,uS/cm,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,0.0,,
9,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,8,DISSOLVED OXYGEN,,,,6.7,6.70,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,2.0,,
10,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,7,TEMP,,,,27.4,27.4,,,,,Deg C,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,1.0,,
11,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.011000000000000001,0.011,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,3.0,,
12,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.085,0.085,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,3.0,,
13,X,S169,7993,,1985-05-06 09:51:00,SAMP,G,0.5,,SW,32,CHLORIDE,,,,89.6,89.6,,,,,mg/L,,,,85002068,,WMD,WMD,,,,,,,,,,0,,2,1,1,MON,1.0,,
