,Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
0,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,8,DISSOLVED OXYGEN,,,,8.4,8.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
1,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,10,"PH, FIELD",,,,8.6,8.60,,,,,UNITS,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
2,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,160.0,160.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
3,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,29,POTASSIUM,,,,8.8,8.80,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
4,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,7,TEMP,,,,29.0,29.0,,,,,Deg C,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
5,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,89,"CARBON, DISSOLVED ORGANIC",,,,19.0,19.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
6,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,78,NITRATE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
7,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,50,"NICKEL, DISSOLVED",,,,53.0,53.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
8,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,43,"CHROMIUM, DISSOLVED",,,,17.0,17.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
9,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,37,"IRON, DISSOLVED",,,,120.0,120.00,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
10,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,35,HARDNESS AS CACO3,,,,219.5,219.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
11,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,32,CHLORIDE,,,,97.0,97.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
12,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,31,MAGNESIUM,,,,22.4,22.40,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
13,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,30,CALCIUM,,,,51.0,51.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
14,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,28,SODIUM,,,,99.0,99.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
15,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,27,SILICA,,,,7.0,7.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
16,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.045,0.045,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
17,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,23,"PHOSPHATE, ORTHO AS P",,,,0.002,0.002,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
18,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,21,"KJELDAHL NITROGEN, TOTAL",,,,1.47,1.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
19,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,20,AMMONIA-N,,,,-0.2,-0.20,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
20,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,19,NITRITE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
21,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,18,NITRATE+NITRITE-N,,,,-0.003,-0.003,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
22,Y,L004,0027,,1972-11-06 12:55:00,SAMP,G,0.0,,SW,11,SECCHI DISK DEPTH,,,,0.4,0.40,,,,,metres,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
23,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,78,NITRATE-N,,,,-0.004,-0.004,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
24,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,67,"ALKALINITY, TOT, CACO3",,,,160.0,160.00,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
25,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,43,"CHROMIUM, DISSOLVED",,,,17.0,17.000,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,3.0,,
26,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,37,"IRON, DISSOLVED",,,,120.0,120.00,,,,,ug/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,2.0,,
27,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,35,HARDNESS AS CACO3,,,,219.5,219.5,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
28,Y,L004,0028,,1972-11-06 13:10:00,SAMP,G,3.0,,SW,32,CHLORIDE,,,,101.0,101.0,,,,,mg/L,,,,,,WMD,WMD,,,,,,,,,,0,,0,0,0,MON,1.0,,
